TARGET,PACKET,STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,GEIGER_HEADER_EXP_STATUS,GEIGER_HEADER_EXP_NUMBER,GEIGER_HEADER_SYNC_CFE_ELAPSED_SECONDS,GEIGER_HEADER_SYNC_CFE_ELAPSED_SUBSECONDS,GEIGER_HEADER_SYNC_FIRMWARE_TIME,GEIGER_HEADER_COMMAND_TIME,GEIGER_HEADER_PAYLOAD_SIZE,GEIGER_DATA_START_TM,GEIGER_DATA_STOP_TM,GEIGER_DATA_0_COUNTS,GEIGER_DATA_0_OVERFLO,GEIGER_DATA_1_COUNTS,GEIGER_DATA_1_OVERFLO,Unnamed: 26,CCSDS_SECONDS_SUBSECS
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,95.0,43.0,2338576.0,38171.0,0.0,1.0,2338561.0,1130250240.0,695628.0,710840.0,18.0,695741.0,710846.0,265.0,0.0,126.0,0.0,,2338576.0-38171.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,98.0,43.0,2338648.0,55673.0,0.0,1.0,2338633.0,2212765696.0,767883.0,783111.0,18.0,768004.0,783119.0,228.0,0.0,116.0,0.0,,2338648.0-55673.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,102.0,43.0,2338744.0,5994.0,0.0,1.0,2338728.0,2453667840.0,862944.0,878351.0,18.0,863049.0,878354.0,137.0,0.0,76.0,0.0,,2338744.0-5994.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,104.0,43.0,2338791.0,60886.0,0.0,1.0,2338776.0,2614620160.0,910989.0,926198.0,18.0,911097.0,926202.0,155.0,0.0,82.0,0.0,,2338791.0-60886.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,105.0,43.0,2338816.0,1189.0,0.0,1.0,2338800.0,1877577728.0,934818.0,950295.0,18.0,934932.0,950296.0,148.0,0.0,71.0,0.0,,2338816.0-1189.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,106.0,43.0,2338840.0,22810.0,0.0,1.0,2338824.0,2274840576.0,958916.0,974625.0,18.0,959266.0,974631.0,163.0,0.0,81.0,0.0,,2338840.0-22810.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,108.0,43.0,2338887.0,54270.0,0.0,1.0,2338872.0,2163675136.0,1006892.0,1022105.0,18.0,1007004.0,1022109.0,158.0,0.0,85.0,0.0,,2338887.0-54270.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,109.0,43.0,2338911.0,56483.0,0.0,1.0,2338896.0,2332450816.0,1030933.0,1046141.0,18.0,1031049.0,1046144.0,177.0,0.0,81.0,0.0,,2338911.0-56483.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,112.0,43.0,2338983.0,32442.0,0.0,1.0,2338968.0,749572096.0,1102570.0,1117783.0,18.0,1102681.0,1117785.0,357.0,0.0,177.0,0.0,,2338983.0-32442.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,113.0,43.0,2339007.0,16258.0,0.0,1.0,2338991.0,3963248640.0,1126327.0,1141544.0,18.0,1126445.0,1141549.0,390.0,0.0,195.0,0.0,,2339007.0-16258.0
